,Time,Predicted Quantity,Lower Bound,Higher Boundary
8098,2018-10-31,2.2771948686276127,0.8013755188159282,3.8248068475037553
8099,2018-05-31,3.4452568723408588,0.5765494926496287,6.5571489022808676
8100,2018-11-30,9.807634846268321,4.291507029718772,15.025297081613123
8101,2018-08-31,5.626279480958651,2.6441774434174303,8.433763632448619
8102,2015-12-31,57.67586809573022,57.675868090626444,57.67586810100459
8103,2018-10-31,5.882523949633901,0.52686531829779,11.381720328087113
8104,2016-08-31,2.5909018517016946,0.5818972048117205,4.380958105154177
8105,2018-10-31,5.322499463690167,2.848802697598161,7.622946973312818
8106,2018-10-31,29.98417000033522,18.572476258818103,42.23498461812444
8107,2018-08-31,5.00401511038843,2.856949913968969,7.046529479782409
8108,2012-09-30,4.5735796886586995,3.392530088495215,5.718356989101979
8109,2018-10-31,3.8815454143718764,2.45850220376743,5.458522173883497
8110,2015-12-31,5.507345261534246,-0.060975178238141005,10.577570106983867
8111,2015-11-30,5.566201186788589,1.1399623872817106,9.800965112864327
8112,2018-01-31,7.520946871013346,4.824790797205331,9.958984259401438
8113,2018-11-30,5.605392155852971,1.4144931814289206,9.706554474277624
8114,2015-06-30,0.6702686607146355,-0.11189985564768339,1.3890491908170681
8115,2013-08-31,2.6443664129456987,1.5020114047186492,3.7828880751085165
8116,2013-11-30,1.9056785125429996,-0.2611377849157649,3.941944225565945
8117,2012-11-30,2.327966632622508,1.3218006780964364,3.3384497727157663
8118,2014-04-30,-140.50160947288325,-140.5016094730501,-140.5016094727239
8119,2012-12-31,5.0,4.999999993489895,5.000000006465866
8120,2018-11-30,28.48519250025833,7.994770775433594,48.29868717918193
8121,2012-07-31,15.66247761977619,1.1409003742980137,29.714027220510076
8122,2018-10-31,9.495011272984877,2.5384722320101436,16.687963136015117
8123,2018-05-31,11.682767437167218,6.465783750764821,17.063312426942673
8124,2018-10-31,2.1993435554159024,-1.6205711355823993,5.869590020098596
8125,2018-11-30,9.056254074170914,4.946211730247837,13.276202217223652
8126,2018-04-30,3.774798035351611,1.8833205215063633,5.655727560246485
8127,2017-03-31,1.3432818568889677,0.13380529693544493,2.5885117726886633
8128,2018-10-31,4.940373771393821,1.7900878798832902,8.408699169401501
8129,2018-08-31,-73.34966612615574,-73.3496661279696,-73.34966612458467
8130,2013-01-31,3.661621612169759,3.6616216121697542,3.661621612169764
8131,2018-11-30,50.49582210099044,30.108884142100383,71.11599929219828
8132,2011-12-31,7.000000000000002,6.999999961659617,7.000000038453934
8133,2013-11-30,6.817368193186704,5.590360113977171,8.058919395524958
8134,2011-11-30,6.309451422729151,5.173281697206069,7.466345962624391
